subject,content,priority
Code Review Assignment,PR assigned to you for code review. Please review and provide feedback by tomorrow.,Medium
System Performance Issue,Database queries running slow on reporting dashboard. Need optimization review.,Medium
Recruitment Update,We're hiring two new team members. Interviews scheduled for next Thursday.,Medium
Security Update Available,New security patch released for our framework. Plan implementation for next release.,Medium
Mentorship Program,Employee mentorship program starting next month. Interested in mentoring junior staff?,Medium
Research Paper Review,Found relevant research for our project. Could you review and summarize findings?,Medium
Marketing Materials Needed,Need updated company bios and headshots for marketing collateral. Can you provide?,Medium
Customer Retention Plan,Discussing strategy to retain at-risk customers. Your ideas would be valuable.,Medium
Tool Migration,Planning migration from Tool A to Tool B. Your team will be impacted. Info session scheduled.,Medium
Feedback Request,Could you provide feedback on the product mockups shared in the attached design?,Medium
Industry News,Interesting news about market trends in our space. Thought you'd find it relevant.,Medium
Collaboration Opportunity,Another team wants to collaborate on a cross-functional project. Interest in joining?,Medium
Data Analysis Request,Need analysis on user behavior data to inform product decisions. Can you help?,Medium
Onboarding Feedback,New team member onboarding completed. Feedback on the process would help us improve.,Medium
Process Improvement,Proposing new workflow to improve team efficiency. Would appreciate your thoughts.,Medium
Certification Course,Recommended certification course for professional development. Interested? Budget available.,Medium
Service Level Review,Reviewing SLAs with service providers. Your input on current service levels needed.,Medium
Expense Report Status,Your expense report is pending approval. Please check the attachment for required edits.,Medium
Weekly Newsletter,This week's company newsletter is ready. Highlights and upcoming events inside.,Low
Office Birthday,Birthday celebration for Tom in the breakroom today at 3 PM. Cake and drinks!,Low
Parking Reminder,Reminder: Parking spot cleaning scheduled for this Saturday morning.,Low
Updated Employee Directory,Employee directory has been updated. New contact information available on the intranet.,Low
IT Tips & Tricks,This week's IT tip: How to optimize your email folder structure for better productivity.,Low
Lunch Announcement,Company lunch catered tomorrow in the main conference room. RSVP appreciated.,Low
Team Outing,Planning summer team outing to local restaurant. Sign-up sheet is on the bulletin board.,Low
Upcoming Holiday,Reminder: Memorial Day holiday on May 26th. Offices will be closed.,Low
Software License Renewal,Annual software license is up for renewal. Current pricing available upon request.,Low
Gym Membership,Company gym membership now available at discounted rate. Enrollment open until Friday.,Low
Meeting Room Reservation,Meeting rooms now available to book through the new scheduling system.,Low
Desk Relocation,Your desk will be relocated next week as part of office reorganization. Details to follow.,Low
Coffee Machine Maintenance,Coffee machines will be serviced tomorrow. Expect some disruption in the break room.,Low
Library Update,Updated business book collection now available in the company library.,Low
Suggestion Box,Company suggestion box is open. Submit your ideas for improving workplace culture.,Low
Lost & Found,Lost backpack in the main lobby. Please check the lost and found area.,Low
Company Social Media,Follow us on social media for company updates and announcements.,Low
Feedback Survey,Quick company satisfaction survey sent out. Takes 5 minutes to complete.,Low
Commuter Benefits,Reminder: Commuter benefits enrollment deadline is this Friday.,Low
Wellness Program,Free yoga classes available Wednesdays at lunch. No experience necessary.,Low
Art Gallery,Local art gallery exhibition featuring employee artwork. Opening reception Saturday evening.,Low
Plant Donation,"Free office plants available from facilities. First come, first served in the lobby.",Low
Podcast Recommendation,Interesting business podcast episode you might enjoy. Link in the message.,Low
Weekly Stats,This week's usage statistics for office resources and facilities.,Low
Building Maintenance,Minor building maintenance will occur next week. Minimal disruption expected.,Low
Parking Update,New electric car charging stations installed in parking lot section D.,Low
Document Shredding,Confidential document shredding service available. Schedule your pickup online.,Low
Office Supplies Catalog,New office supplies catalog available. Check updated pricing and new products.,Low
Energy Saving Tips,Tips for reducing energy consumption at home and in the office.,Low
Team Photo,Professional team photo session scheduled. Your attendance helps capture company culture.,Low
Benefits Guide,Updated benefits guide published. Review section relevant to your employment status.,Low
Facility Hours,Updated office facility hours posted. Check the new hours for weekends and holidays.,Low
Vendor Anniversary,Our IT vendor celebrating 20 years in business. Promotional discount available this month.,Low
Training Opportunity,"Free webinar on industry trends. Optional attendance, link available in portal.",Low
Spring Cleaning,Office spring cleaning day scheduled. Volunteers appreciated for organizing files.,Low
Charitable Giving,Company matching charitable donations this quarter. Submit your preferred charity.,Low
Weather Advisory,Severe weather advisory for the region. Consider leaving early if needed.,Low
Book Club,Company book club meeting next month. This month's selection and voting details attached.,Low
